timestamp,direction,symbol,entry,exit,sl,tp1,lot,pnl,result,label,tf,mode,session,regime,sl_pips,tp_pips,rr
2026-05-06 01:24:09,sell,XAUUSD,4616.86,0.0,4620.86,4612.86,0.0,0,be,M30_OB,M30,FLOW,asia,chop,40.0,40.0,1.0
2026-05-06 01:47:09,sell,XAUUSD,4621.7,0.0,4626.7,4617.48,0.0,0,be,M15_BEAR,M15,FLOW,asia,chop,50.0,42.2,0.84
2026-05-06 02:46:27,sell,XAUUSD,4635.77,0.0,4640.77,4616.32,0.0,0,be,H4_OB,H4,FLOW,asia,range,50.0,194.5,3.89
2026-05-06 02:56:05,sell,XAUUSD,4635.77,0.0,4640.77,4616.32,0.0,0,be,H4_OB,H4,FLOW,asia,range,50.0,194.5,3.89
2026-05-06 03:20:42,sell,XAUUSD,4647.9,0.0,4651.9,4641.9,0.0,0,be,M30_OB,M30,FLOW,asia,range,40.0,60.0,1.5
2026-05-06 12:03:59,buy,XAUUSD,4689.42,0.0,4684.42,4694.64,0.0,-5.0,loss,H4_RB,H4,FLOW,london,trend,50.0,75.0,1.5
2026-05-06 12:06:49,buy,XAUUSD,4681.83,0.0,4676.83,4685.83,0.0,-5.0,loss,M15_BULL,M15,FLOW,london,trend,50.0,75.0,1.5
2026-05-06 12:17:33,buy,XAUUSD,4669.75,0.0,4664.75,4690.77,0.0,-5.0,loss,D1_OB,D1,FLOW,london,trend,50.0,210.2,4.2
2026-05-06 12:20:22,buy,XAUUSD,4661.97,0.0,4657.32,4669.47,0.0,-4.65,loss,H4_OB,H4,FLOW,london,trend,46.5,75.0,1.61
2026-05-06 13:10:06,buy,XAUUSD,4669.75,0.0,4664.75,4690.77,0.0,-5.0,loss,D1_OB,D1,FLOW,overlap,trend,50.0,210.2,4.2
2026-05-06 13:10:07,buy,XAUUSD,4672.29,0.0,4668.29,4682.4,0.0,-4.0,loss,M15_RB,M15,FLOW,overlap,trend,40.0,101.1,2.53
2026-05-06 13:42:28,buy,XAUUSD,4694.92,0.0,4690.92,4702.76,0.0,-4.0,loss,M5_OB,M5,FLOW,overlap,trend,40.0,78.4,1.96
2026-05-06 15:14:07,buy,XAUUSD,4697.54,0.0,4693.54,4708.48,0.0,-4.0,loss,M15_OB,M15,FLOW,overlap,trend,40.0,109.4,2.74
2026-05-06 16:01:47,buy,XAUUSD,4689.42,0.0,4684.42,4694.64,0.0,-5.0,loss,H4_RB,H4,FLOW,newyork,chop,50.0,75.0,1.5
2026-05-07 05:23:38,buy,XAUUSD,4689.42,4699.42,4684.42,4694.64,0.0,30.0,win,H4_RB,H4,FLOW,asia,chop,50.0,100.0,2.0
2026-06-09 12:36:33,buy,XAUUSDm,4692.25,0.0,4687.56,4696.25,0.0,-4.69,loss,M15_OB,M15,FLOW,london,range,46.9,94.0,2.0
2026-06-18 09:45:32,sell,XAUUSDm,4268.45,4269.29,4273.29,4263.67,0.0,-5.04,loss,M5_OB,M5,FLOW,london,trend,48.4,97.0,2.0
2026-06-18 10:23:03,sell,XAUUSDm,4272.71,4264.71,4276.71,4267.99,0.0,58.86,win,M5_OB,M5,FLOW,london,trend,40.0,80.0,2.0
2026-07-08 16:40:20,sell,XAUUSDm,4043.27,4044.96,4047.96,4023.76,0.04,-6.76,loss,H4_OB,H4,FLOW,newyork,range,46.9,195.1,4.16
2026-07-08 16:43:23,sell,XAUUSDm,4048.92,4051.92,4053.92,4044.92,0.04,-12.0,loss,M15_BEAR,M15,FLOW,newyork,range,50.0,100.0,2.0
2026-07-08 16:55:34,sell,XAUUSDm,4058.9,4063.63,4063.63,4052.84,0.04,-18.92,loss,H4_RB,H4,FLOW,newyork,range,47.3,95.0,2.01
2026-07-08 17:22:27,sell,XAUUSDm,4069.99,4069.99,4073.99,4065.99,0.03,4.91,win,M5_OB,M5,FLOW,newyork,range,40.0,80.0,2.0
2026-07-08 17:31:10,sell,XAUUSDm,4071.61,4076.61,4076.61,4064.11,0.04,-20.0,loss,D1_OB,D1,FLOW,newyork,range,50.0,100.0,2.0
